flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
SFLAG001,STRIP005,SDRV095,2024-02-06 15:54:15,1455.0,moderate_brake,low,0.98,0.98,0.98,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG002,STRIP002,SDRV039,2024-02-06 11:27:13,133.0,audio_spike,medium,0.88,0.72,0.8,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG003,STRIP137,SDRV071,2024-02-06 17:13:35,816.0,conflict_moment,low,0.39,0.72,0.55,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG004,STRIP142,SDRV025,2024-02-06 20:06:21,2181.0,audio_spike,high,0.94,0.55,0.74,Synthetic event: audio_spike detected.,Motion: other | Audio: very_loud
SFLAG005,STRIP106,SDRV080,2024-02-06 05:15:43,43.0,moderate_brake,high,0.55,0.86,0.71,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG006,STRIP004,SDRV010,2024-02-06 16:01:02,1263.0,moderate_brake,medium,0.62,0.24,0.43,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG007,STRIP220,SDRV189,2024-02-06 12:04:49,589.0,audio_spike,medium,0.63,0.94,0.78,Synthetic event: audio_spike detected.,Motion: other | Audio: loud
SFLAG008,STRIP136,SDRV203,2024-02-06 16:29:44,885.0,harsh_braking,low,0.52,0.62,0.57,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG009,STRIP185,SDRV056,2024-02-06 21:46:39,99.0,sustained_stress,high,0.98,0.49,0.73,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG010,STRIP071,SDRV143,2024-02-06 17:59:20,860.0,conflict_moment,high,0.55,0.75,0.65,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG011,STRIP138,SDRV071,2024-02-06 22:09:52,1192.0,moderate_brake,medium,0.8,0.41,0.6,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG012,STRIP074,SDRV154,2024-02-06 21:32:34,455.0,audio_spike,low,0.39,0.72,0.55,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG013,STRIP214,SDRV083,2024-02-06 17:26:09,69.0,harsh_braking,high,0.72,0.9,0.81,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG014,STRIP129,SDRV184,2024-02-06 09:02:04,1924.0,moderate_brake,medium,0.61,0.57,0.59,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG015,STRIP179,SDRV037,2024-02-06 20:22:46,166.0,moderate_brake,medium,0.77,0.86,0.81,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG016,STRIP173,SDRV132,2024-02-06 22:08:19,499.0,harsh_braking,high,0.59,0.87,0.73,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: very_loud
SFLAG017,STRIP111,SDRV109,2024-02-06 12:33:40,1421.0,harsh_braking,low,0.47,0.64,0.55,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG018,STRIP046,SDRV199,2024-02-06 18:25:00,300.0,audio_spike,low,0.37,0.93,0.65,Synthetic event: audio_spike detected.,Motion: other | Audio: normal
SFLAG019,STRIP028,SDRV046,2024-02-06 07:35:26,1526.0,moderate_brake,low,0.83,0.24,0.53,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG020,STRIP025,SDRV040,2024-02-06 15:32:03,1924.0,harsh_braking,low,0.61,0.47,0.54,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG021,STRIP135,SDRV203,2024-02-06 08:14:50,590.0,conflict_moment,medium,0.36,0.81,0.58,Synthetic event: conflict_moment detected.,Motion: other | Audio: loud
SFLAG022,STRIP039,SDRV098,2024-02-06 16:15:23,1223.0,conflict_moment,high,0.43,0.35,0.39,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG023,STRIP062,SDRV030,2024-02-06 22:50:20,321.0,conflict_moment,low,0.34,0.67,0.51,Synthetic event: conflict_moment detected.,Motion: other | Audio: normal
SFLAG024,STRIP050,SDRV050,2024-02-06 11:36:55,1916.0,sustained_stress,high,0.31,0.24,0.28,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG025,STRIP159,SDRV165,2024-02-06 15:28:44,825.0,conflict_moment,high,0.87,0.46,0.67,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG026,STRIP200,SDRV129,2024-02-06 12:20:50,650.0,sustained_stress,low,0.72,0.42,0.57,Synthetic event: sustained_stress detected.,Motion: other | Audio: normal
SFLAG027,STRIP065,SDRV068,2024-02-06 20:00:49,49.0,harsh_braking,low,0.81,0.7,0.76,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG028,STRIP091,SDRV198,2024-02-06 13:26:15,976.0,harsh_braking,medium,0.82,0.74,0.78,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: loud
SFLAG029,STRIP069,SDRV089,2024-02-06 16:48:54,235.0,sustained_stress,medium,0.55,0.3,0.43,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG030,STRIP102,SDRV167,2024-02-06 12:04:48,288.0,harsh_braking,low,0.77,0.89,0.83,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG031,STRIP021,SDRV091,2024-02-06 11:19:04,1444.0,moderate_brake,low,0.74,0.35,0.54,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG032,STRIP096,SDRV157,2024-02-06 13:08:48,228.0,conflict_moment,high,0.87,0.66,0.77,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
SFLAG033,STRIP104,SDRV043,2024-02-06 14:36:41,1002.0,moderate_brake,medium,0.85,0.76,0.8,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: loud
SFLAG034,STRIP118,SDRV116,2024-02-06 20:36:41,1302.0,moderate_brake,high,0.34,0.8,0.57,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: very_loud
SFLAG035,STRIP145,SDRV113,2024-02-06 15:11:16,1276.0,moderate_brake,low,0.5,0.71,0.6,Synthetic event: moderate_brake detected.,Motion: moderate | Audio: normal
SFLAG036,STRIP063,SDRV067,2024-02-06 15:44:06,547.0,sustained_stress,high,0.97,0.23,0.6,Synthetic event: sustained_stress detected.,Motion: other | Audio: very_loud
SFLAG037,STRIP206,SDRV060,2024-02-06 22:22:23,1044.0,harsh_braking,low,0.42,0.77,0.59,Synthetic event: harsh_braking detected.,Motion: harsh_brake | Audio: normal
SFLAG038,STRIP058,SDRV160,2024-02-06 13:45:48,348.0,sustained_stress,medium,0.46,0.6,0.53,Synthetic event: sustained_stress detected.,Motion: other | Audio: loud
SFLAG039,STRIP077,SDRV099,2024-02-06 10:58:17,1098.0,conflict_moment,high,0.45,0.32,0.39,Synthetic event: conflict_moment detected.,Motion: other | Audio: very_loud
